,0,1
0,AF1.jpg,2.33333333
1,AF10.jpg,3.43333333
2,AF100.jpg,2.9
3,AF1000.jpg,3.96666666
4,AF1001.jpg,3.73333333
5,AF1002.jpg,2.61666666
6,AF1003.jpg,2.86666666
7,AF1004.jpg,3.3
8,AF1005.jpg,2.21666666
9,AF1006.jpg,3.45
10,AF1007.jpg,2.7
11,AF1008.jpg,2.78333333
12,AF1009.jpg,3.86666666
13,AF101.jpg,2.35
14,AF1010.jpg,2.58333333
15,AF1011.jpg,3.1
16,AF1012.jpg,2.76666666
17,AF1013.jpg,3.81666666
18,AF1014.jpg,4.31666666
19,AF1015.jpg,3.68333333
20,AF1016.jpg,3.81666666
21,AF1017.jpg,3.5
22,AF1018.jpg,3.31666666
23,AF1019.jpg,2.08333333
24,AF102.jpg,2.8
25,AF1020.jpg,2.86666666
26,AF1021.jpg,2.93333333
27,AF1022.jpg,3.76666666
28,AF1023.jpg,3.4
29,AF1024.jpg,3.36666666
30,AF1025.jpg,1.86666666
31,AF1026.jpg,3.65
32,AF1027.jpg,3.98333333
33,AF1028.jpg,2.13333333
34,AF1029.jpg,3.95
35,AF103.jpg,2.6
36,AF1030.jpg,2.31666666
37,AF1031.jpg,4.03333333
38,AF1032.jpg,3.31666666
39,AF1033.jpg,2.26666666
40,AF1034.jpg,3.05
41,AF1035.jpg,3.51666666
42,AF1036.jpg,2.75
43,AF1037.jpg,2.0
44,AF1038.jpg,2.65
45,AF1039.jpg,4.2
46,AF104.jpg,2.83333333
47,AF1040.jpg,2.23333333
48,AF1041.jpg,2.38333333
49,AF1042.jpg,3.11666666
50,AF1043.jpg,2.51666666
51,AF1044.jpg,2.98333333
52,AF1045.jpg,3.81666666
53,AF1046.jpg,2.28333333
54,AF1047.jpg,3.65
55,AF1048.jpg,3.15
56,AF1049.jpg,2.95
57,AF105.jpg,4.03333333
58,AF1050.jpg,3.18333333
59,AF1051.jpg,2.7
60,AF1052.jpg,2.78333333
61,AF1053.jpg,2.66666666
62,AF1054.jpg,3.21666666
63,AF1055.jpg,3.45
64,AF1056.jpg,4.21666666
65,AF1057.jpg,3.15
66,AF1058.jpg,3.78333333
67,AF1059.jpg,3.03333333
68,AF106.jpg,3.03333333
69,AF1060.jpg,2.43333333
70,AF1061.jpg,2.76666666
71,AF1062.jpg,4.18333333
72,AF1063.jpg,4.31666666
73,AF1064.jpg,3.88333333
74,AF1065.jpg,3.85
75,AF1066.jpg,1.68333333
76,AF1067.jpg,2.58333333
77,AF1068.jpg,4.11666666
78,AF1069.jpg,3.18333333
79,AF107.jpg,1.88333333
80,AF1070.jpg,2.5
81,AF1071.jpg,3.13333333
82,AF1072.jpg,3.23333333
83,AF1073.jpg,2.66666666
84,AF1074.jpg,3.11666666
85,AF1075.jpg,3.9
86,AF1076.jpg,1.4
87,AF1077.jpg,3.11666666
88,AF1078.jpg,3.48333333
89,AF1079.jpg,2.96666666
90,AF108.jpg,2.78333333
91,AF1080.jpg,3.91666666
92,AF1081.jpg,2.9
93,AF1082.jpg,2.63333333
94,AF1083.jpg,4.4
95,AF1084.jpg,1.83333333
96,AF1085.jpg,2.28333333
97,AF1086.jpg,3.65
98,AF1087.jpg,2.76666666
99,AF1088.jpg,3.86666666
100,AF1089.jpg,2.03333333
101,AF109.jpg,2.33333333
102,AF1090.jpg,3.96666666
103,AF1091.jpg,2.91666666
104,AF1092.jpg,2.25
105,AF1093.jpg,3.63333333
106,AF1094.jpg,4.06666666
107,AF1095.jpg,2.66666666
108,AF1096.jpg,2.36666666
109,AF1097.jpg,2.46666666
110,AF1098.jpg,1.55
111,AF1099.jpg,4.18333333
112,AF11.jpg,2.31666666
113,AF110.jpg,3.25
114,AF1100.jpg,2.66666666
115,AF1101.jpg,3.8
116,AF1102.jpg,3.83333333
117,AF1103.jpg,3.05
118,AF1104.jpg,4.13333333
119,AF1105.jpg,1.71666666
120,AF1106.jpg,3.51666666
121,AF1107.jpg,4.21666666
122,AF1108.jpg,1.86666666
123,AF1109.jpg,3.88333333
124,AF111.jpg,2.75
125,AF1110.jpg,4.23333333
126,AF1111.jpg,2.38333333
127,AF1112.jpg,4.23333333
128,AF1113.jpg,3.35
129,AF1114.jpg,2.96666666
130,AF1115.jpg,4.01666666
131,AF1116.jpg,4.01666666
132,AF1117.jpg,1.96666666
133,AF1118.jpg,1.83333333
134,AF1119.jpg,2.7
135,AF112.jpg,2.65
136,AF1120.jpg,2.9
137,AF1121.jpg,1.96666666
138,AF1122.jpg,3.6
139,AF1123.jpg,2.51666666
140,AF1124.jpg,3.55
141,AF1125.jpg,2.75
142,AF1126.jpg,2.58333333
143,AF1127.jpg,2.86666666
144,AF1128.jpg,2.53333333
145,AF1129.jpg,4.16666666
